date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:41	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226aac0af2-24a3%22	https://pageaolgold.github.io/robots.txt		(from )
15:04:41	7267/7267	U-----	200	untouched ('OK')	text/html	etag:W/%226ab1a40a-1c63%22	https://pageaolgold.github.io/	C:/My%20Web%20Sites/https___pageaolgold.github.io_/pageaolgold.github.io/index.html	(from )
15:04:43	18024/18024	---MCZ	200	added ('OK')	application/javascript	etag:W/%226aa92cf9-4668%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/https___pageaolgold.github.io_/www.smartsuppchat.com/loaderd41d.js	(from https://pageaolgold.github.io/)
15:04:44	876/876	U-----	200	untouched ('OK')	text/html	etag:W/%226ab1a40a-36c%22	https://pageaolgold.github.io/loading.html	C:/My%20Web%20Sites/https___pageaolgold.github.io_/pageaolgold.github.io/loading.html	(from https://pageaolgold.github.io/)
15:04:44	141841/141841	U-----	200	untouched ('OK')	text/css	date:Mon,%2004%20May%202020%2016:12:46%20GMT	https://cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/css/materialize.min.css	C:/My%20Web%20Sites/https___pageaolgold.github.io_/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/css/materialize.min.css	(from https://pageaolgold.github.io/)
15:04:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Sep%202026%2009:34:42%20GMT	http://mystartpage.click/wp-content/uploads/2025/01/Download.gif	C:/My%20Web%20Sites/https___pageaolgold.github.io_/mystartpage.click/wp-content/uploads/2025/01/Download.5.delayed	(from https://pageaolgold.github.io/loading.html)
15:04:44	181109/181109	U-----	200	untouched ('')	application/javascript	date:Mon,%2004%20May%202020%2016:12:46%20GMT	https://cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/js/materialize.min.js	C:/My%20Web%20Sites/https___pageaolgold.github.io_/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/js/materialize.min.js	(from https://pageaolgold.github.io/)
15:04:44	4317/4317	U-----	200	untouched ('OK')	text/html	etag:W/%226ab1a40a-10dd%22	https://pageaolgold.github.io/error-1701.html	C:/My%20Web%20Sites/https___pageaolgold.github.io_/pageaolgold.github.io/error-1701.html	(from https://pageaolgold.github.io/loading.html)
15:04:45	93/93	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2023%20Sep%202026%2009:34:43%20GMT	https://mystartpage.click/wp-content/uploads/2025/01/Download.gif	C:/My%20Web%20Sites/https___pageaolgold.github.io_/mystartpage.click/wp-content/uploads/2025/01/Download.6.delayed	(from https://pageaolgold.github.io/loading.html)
15:04:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Sep%202026%2009:34:44%20GMT	http://mystartpage.click/wp-content/uploads/2025/01/chat.png	C:/My%20Web%20Sites/https___pageaolgold.github.io_/mystartpage.click/wp-content/uploads/2025/01/chat.8.delayed	(from https://pageaolgold.github.io/error-1701.html)
15:04:47	28542/28542	U-----	200	untouched ('')	image/jpeg	etag:%22271909325d9be29143f86d4a8576345d%22	https://t3.ftcdn.net/jpg/06/23/75/48/240_F_623754873_B6kGiVvzqowDzC5ddA25r1NcIIIfSgSl.jpg	C:/My%20Web%20Sites/https___pageaolgold.github.io_/t3.ftcdn.net/jpg/06/23/75/48/240_F_623754873_B6kGiVvzqowDzC5ddA25r1NcIIIfSgSl.jpg	(from https://pageaolgold.github.io/error-1701.html)
15:04:47	93/93	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2023%20Sep%202026%2009:34:45%20GMT	https://mystartpage.click/wp-content/uploads/2025/01/chat.png	C:/My%20Web%20Sites/https___pageaolgold.github.io_/mystartpage.click/wp-content/uploads/2025/01/chat.9.delayed	(from https://pageaolgold.github.io/error-1701.html)
